Team,Host,Athletes,Sports,Events,Gold,Silver,Bronze,Medals
USA,4,10362,565,4341,1035,802,707,2544
Russia,1,6323,404,3191,592,498,487,1577
Germany,2,8471,510,3766,442,457,490,1389
UK,3,7634,525,3665,278,316,298,892
France,2,7023,540,3479,233,255,282,770
Italy,1,5738,516,2995,219,191,198,608
China,1,3507,285,1788,228,163,154,545
Australia,2,5192,457,2877,150,171,197,518
Sweden,1,4030,451,2351,150,175,188,513
Hungary,0,3818,416,2488,178,154,172,504
Japan,1,4263,412,2440,142,134,161,437
Finland,1,2263,338,1662,104,86,120,310
Canada,1,4640,440,2844,64,104,137,305
Romania,0,2220,262,1514,88,95,120,303
Netherlands,1,3690,382,1780,88,95,114,297
Poland,0,3477,344,2125,69,87,134,290
South Korea,1,2789,294,1588,90,85,88,263
Bulgaria,0,1786,245,1318,51,86,80,217
Cuba,0,1874,230,1140,77,67,70,214
Denmark,0,2468,362,1427,49,81,80,210
Switzerland,0,2443,364,1680,58,82,69,209
Czech Republic,0,2878,374,1864,64,68,75,207
Belgium,1,2581,380,1554,44,59,63,166
Norway,0,1884,296,1152,56,51,48,155
Greece,3,2232,305,1397,42,57,52,151
Spain,1,3679,380,1884,44,63,41,148
Brazil,1,2982,356,1579,30,36,62,128
Ukraine,0,1377,140,1001,35,32,59,126
New Zealand,0,1732,248,1054,47,27,44,118
Austria,0,1995,373,1410,26,40,42,108
Serbia,0,1899,253,956,31,39,37,107
Kenya,0,695,69,350,31,38,31,100
Turkey,0,985,171,866,40,27,28,95
South Africa,0,1187,210,865,25,33,30,88
Belarus,0,904,130,663,13,28,43,84
Jamaica,0,552,66,377,22,32,22,76
Argentina,0,2287,326,1351,21,25,28,74
Kazakhstan,0,684,105,608,19,22,29,70
Iran,0,623,125,522,18,21,29,68
Mexico,1,1956,349,1340,13,24,30,67
North Korea,0,416,98,323,16,15,23,54
Ethiopia,0,311,30,172,22,9,22,53
Azerbaijan,0,242,67,247,7,12,25,44
Estonia,0,386,107,333,9,9,16,34
Uzbekistan,0,389,81,398,9,7,17,33
Ireland,0,1011,197,791,9,11,13,33
Croatia,0,583,101,356,11,10,12,33
Georgia,0,211,68,228,8,6,18,32
Thailand,0,597,136,498,9,8,13,30
Indonesia,0,352,115,268,7,12,11,30
